Property_type,Price,Bedrooms,Bathrooms,Area,Location,Link
flat,41 lac,2,2,650 sqft,"G-15 Markaz, Islamabad",https://www.graana.com//property/650-sqft-flat-sale-g-15-markaz-islamabad-1126422/
house,1.2 crore,4,5,4.8 marla,"H-13, Islamabad",https://www.graana.com//property/4.8-marla-house-sale-h-13-islamabad-1125647
house,10.5 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1125644/
house,4.85 crore,5,5,10 marla,"DHA Phase 2, Islamabad",https://www.graana.com//property/10-marla-house-sale-dha-phase-2-islamabad-1125518/
house,8.75 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1125467/
house,9.5 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1125435/
house,10 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1125413/
house,23 crore,5,5,1 kanal,"F-7/1, Islamabad",https://www.graana.com//property/1-kanal-house-sale-f-7-1-islamabad-1125388/
house,9.8 crore,5,5,1 kanal,"DHA Phase 2, Islamabad",https://www.graana.com//property/1-kanal-house-sale-dha-phase-2-islamabad-1125372/
flat,70 lac,2,2,550 sqft,"CBR Town, Islamabad",https://www.graana.com//property/550-sqft-flat-sale-cbr-town-islamabad-1125242/
house,4.5 crore,6,6,12 marla,"CBR Town, Block B, Islamabad","https://www.graana.com//property/12-marla-house-sale-cbr-town,-block-b-islamabad-1125149/"
flat,55 lac,1,1,600 sqft,"E-11/4, Islamabad",https://www.graana.com//property/600-sqft-flat-sale-e-11-4-islamabad-1125039/
house,1.8 crore,4,4,5 marla,"Soan Garden, Block F, Islamabad","https://www.graana.com//property/5-marla-house-sale-soan-garden,-block-f-islamabad-1125036/"
house,2.6 crore,3,1,5 marla,"I-10/1, Islamabad",https://www.graana.com//property/5-marla-house-sale-i-10-1-islamabad-1124386/
house,3 crore,8,8,11 marla,"Bani Gala, Islamabad",https://www.graana.com//property/11-marla-house-sale-bani-gala-islamabad-1124362/
house,87 lac,6,6,5 marla,"Kuri Road, Islamabad",https://www.graana.com//property/5-marla-house-sale-kuri-road-islamabad-1124360/
house,1.05 crore,3,3,5 marla,"H-13, Islamabad",https://www.graana.com//property/5-marla-house-sale-h-13-islamabad-1124353/
house,2 crore,8,8,5 marla,"Bhara Kahu, Islamabad",https://www.graana.com//property/5-marla-house-sale-bhara-kahu-islamabad-1124345/
flat,1.09 crore,2,2,1067.7 sqft,"Multi Garden, B-17, Islamabad","https://www.graana.com//property/1067.7-sqft-flat-sale-multi-garden,-b-17-islamabad-1123832"
flat,1.09 crore,2,2,1061.8 sqft,"Multi Garden, B-17, Islamabad","https://www.graana.com//property/1061.8-sqft-flat-sale-multi-garden,-b-17-islamabad-1123829"
flat,1.08 crore,2,2,1139.6 sqft,"Multi Garden, B-17, Islamabad","https://www.graana.com//property/1139.6-sqft-flat-sale-multi-garden,-b-17-islamabad-1123821"
flat,2.2 crore,3,3,2250 sqft,"Bahria Enclave, Islamabad",https://www.graana.com//property/2250-sqft-flat-sale-bahria-enclave-islamabad-1123817/
flat,1.11 crore,2,2,1141 sqft,"Multi Garden, B-17, Islamabad","https://www.graana.com//property/1141-sqft-flat-sale-multi-garden,-b-17-islamabad-1123811/"
flat,1.1 crore,2,2,1143 sqft,"Multi Garden, B-17, Islamabad","https://www.graana.com//property/1143-sqft-flat-sale-multi-garden,-b-17-islamabad-1123801/"
flat,1.09 crore,2,2,1045 sqft,"Multi Garden, B-17, Islamabad","https://www.graana.com//property/1045-sqft-flat-sale-multi-garden,-b-17-islamabad-1123791/"
flat,1.26 crore,3,3,1303.9 sqft,"Multi Garden, B-17, Islamabad","https://www.graana.com//property/1303.9-sqft-flat-sale-multi-garden,-b-17-islamabad-1123777"
flat,1.08 crore,2,2,1145.4 sqft,"Multi Garden, B-17, Islamabad","https://www.graana.com//property/1145.4-sqft-flat-sale-multi-garden,-b-17-islamabad-1123756"
